Product ID,Product Name,Category,Supplier Name,Unit Cost,Retail Price,Opening Stock,Units Sold,Closing Stock,Reorder Point,Stock Status
PRD-1001,Wine Glasses,Home & Kitchen,Heritage Brands,23.78,38.89,135,118,17,30,Low Stock
PRD-1002,Eye Mask,Beauty,Coastal Trading,15.67,24.53,86,10,76,9,In Stock
PRD-1003,Resistance Band,Sports & Outdoors,National Supply Group,5.59,11.88,319,195,124,47,In Stock
PRD-1004,Action Figure,Toys & Games,Pacific Wholesale,9.72,18.01,173,140,33,39,Low Stock
PRD-1005,Serving Tray,Home & Kitchen,Coastal Trading,8.22,13.9,32,8,24,7,In Stock
PRD-1006,Dried Fruit,Grocery,National Supply Group,6.94,12.18,74,52,22,15,In Stock
PRD-1007,Dish Soap,Home & Kitchen,Pacific Wholesale,6.74,13.47,21,6,15,2,In Stock
PRD-1008,Hiking Socks,Sports & Outdoors,National Supply Group,7.23,9.67,353,72,281,51,In Stock
PRD-1009,Dried Fruit,Grocery,Summit Wholesale Inc,10.6,16.76,196,59,137,26,In Stock
PRD-1010,Yoga Block,Sports & Outdoors,Premier Merchandise,5.54,9.54,38,14,24,4,In Stock
PRD-1011,Kitchen Towels,Home & Kitchen,Premier Merchandise,9.67,14.73,150,83,67,28,In Stock
PRD-1012,Sticky Notes,Office Supplies,AllGoods Supply Co,6.41,11.37,489,211,278,50,In Stock
PRD-1013,Olive Oil,Grocery,Heritage Brands,11.77,25.18,139,14,125,22,In Stock
PRD-1014,Canvas Belt,Clothing,United Imports,33.16,65.63,150,110,40,34,In Stock
PRD-1015,Bike Light,Sports & Outdoors,Premier Merchandise,20.77,30.26,160,143,17,33,Low Stock
PRD-1016,Face Wash,Beauty,National Supply Group,7.12,14.42,337,99,238,37,In Stock
PRD-1017,Desk Organizer,Office Supplies,Pacific Wholesale,6.76,12.14,458,381,77,109,Low Stock
PRD-1018,Utensil Set,Home & Kitchen,AllGoods Supply Co,6.4,12.71,470,346,124,51,In Stock
PRD-1019,Deodorant,Beauty,Heritage Brands,15.81,30.84,114,41,73,14,In Stock
PRD-1020,Dry Shampoo,Beauty,Heritage Brands,14.02,23.8,21,5,16,5,In Stock
PRD-1021,Wine Glasses,Home & Kitchen,Heritage Brands,23.27,45.93,438,291,147,55,In Stock
PRD-1022,Water Bottle,Sports & Outdoors,United Imports,9.2,17.9,466,91,375,49,In Stock
PRD-1023,Sticky Notes,Office Supplies,Coastal Trading,11.25,18.59,200,183,17,35,Low Stock
PRD-1024,Bubble Kit,Toys & Games,United Imports,9.37,19.14,32,22,10,5,In Stock
PRD-1025,Golf Tees,Sports & Outdoors,United Imports,4.23,7.16,454,317,137,72,In Stock
PRD-1026,Coloring Set,Toys & Games,Global Source Direct,5.16,9.85,452,259,193,88,In Stock
PRD-1027,Cutting Board,Home & Kitchen,AllGoods Supply Co,28.63,37.31,256,171,85,31,In Stock
PRD-1028,Tape Dispenser,Office Supplies,National Supply Group,3.29,4.8,270,102,168,63,In Stock
PRD-1029,Stapler,Office Supplies,United Imports,5.84,12.09,46,32,14,9,In Stock
PRD-1030,Slime Kit,Toys & Games,AllGoods Supply Co,9.58,16.97,153,114,39,16,In Stock
PRD-1031,HDMI Cable,Electronics,Heritage Brands,25.35,49.22,245,159,86,42,In Stock
