product,q1_sales,q2_sales,q3_sales,q4_sales,region,units_sold
ProductA,45000,52000,58000,72000,North,1200
ProductB,32000,35000,31000,28000,South,850
ProductC,78000,82000,89000,95000,East,2100
ProductD,12000,15000,18000,22000,West,450
ProductE,56000,59000,61000,58000,North,1650
ProductF,88000,85000,79000,72000,South,1950
ProductG,23000,28000,32000,38000,East,720
ProductH,41000,44000,46000,48000,West,1100
ProductI,67000,71000,75000,79000,North,1850
ProductJ,34000,36000,35000,33000,South,890
ProductK,92000,96000,101000,108000,East,2400
ProductL,19000,22000,25000,29000,West,580
ProductM,55000,58000,60000,62000,North,1550
ProductN,73000,70000,67000,64000,South,1700
ProductO,38000,41000,43000,46000,East,1050
